filename,fold,chroma_stft_mean,chroma_stft_variance,rmse_mean,rmse_variance,spectral_centroid_mean,spectral_centroid_variance,spectral_bandwidth_mean,spectral_bandwidth_variance,spectral_rolloff_mean,spectral_rolloff_variance,zero_crossing_rate_mean,zero_crossing_rate_variance,MFCC_1_mean,MFCC_1_variance,MFCC_2_mean,MFCC_2_variance,MFCC_3_mean,MFCC_3_variance,MFCC_4_mean,MFCC_4_variance,MFCC_5_mean,MFCC_5_variance,MFCC_6_mean,MFCC_6_variance,MFCC_7_mean,MFCC_7_variance,MFCC_8_mean,MFCC_8_variance,MFCC_9_mean,MFCC_9_variance,MFCC_10_mean,MFCC_10_variance,MFCC_11_mean,MFCC_11_variance,MFCC_12_mean,MFCC_12_variance,MFCC_13_mean,MFCC_13_variance,MFCC_14_mean,MFCC_14_variance,MFCC_15_mean,MFCC_15_variance,MFCC_16_mean,MFCC_16_variance,MFCC_17_mean,MFCC_17_variance,MFCC_18_mean,MFCC_18_variance,MFCC_19_mean,MFCC_19_variance,MFCC_20_mean,MFCC_20_variance,class_ID
103199-4-0-0,3,0.5220089,0.06072146,0.10675523,0.003315934,2655.25287,7484.323614,1941.836301,6477.699532,4199.845895,45530.8945,0.192329186,0.000164684,-99.48842,-99.48842,56.112576,56.112576,-88.87166,-88.87166,-1.0813193,-1.0813193,-9.880206,-9.880206,-2.6725214,-2.6725214,-10.245169,-10.245169,1.1413027,1.1413027,-9.3864765,-9.3864765,0.27747294,0.27747294,-21.638252,-21.638252,-6.7417526,-6.7417526,-10.427538,-10.427538,-1.728565,-1.728565,-9.004919,-9.004919,10.928419,10.928419,-4.0618973,-4.0618973,10.794142,10.794142,-4.833978,-4.833978,-1.1972724,-1.1972724,4
103199-4-0-3,3,0.60408235,0.05255371,0.14371742,0.000361182,2398.53839,16806.96392,1785.45574,5569.542896,3810.879076,35191.09968,0.175490539,0.000248093,-39.76204,-39.76204,75.106514,75.106514,-93.547554,-93.547554,-0.05568823,-0.05568823,-14.504151,-14.504151,-5.1996117,-5.1996117,-17.182854,-17.182854,-5.7784877,-5.7784877,-16.091587,-16.091587,-4.0600157,-4.0600157,-22.227758,-22.227758,-9.597798,-9.597798,-16.546478,-16.546478,-7.051289,-7.051289,-12.182523,-12.182523,8.372885,8.372885,-5.1896796,-5.1896796,10.635266,10.635266,-2.177685,-2.177685,2.2994604,2.2994604,4
103199-4-0-4,3,0.6406175,0.04106792,0.14822961,0.000174373,2283.072033,4579.465875,1763.214668,2986.008056,3672.157949,11833.9735,0.16516325,0.00014217,-33.92648,-33.92648,85.3817,85.3817,-90.50954,-90.50954,-2.2403257,-2.2403257,-17.852081,-17.852081,-6.7738285,-6.7738285,-17.652065,-17.652065,-5.130201,-5.130201,-19.052122,-19.052122,-8.346041,-8.346041,-22.892067,-22.892067,-10.034756,-10.034756,-15.58655,-15.58655,-8.1283865,-8.1283865,-14.007268,-14.007268,6.9198966,6.9198966,-7.1909122,-7.1909122,6.418432,6.418432,-3.9775348,-3.9775348,2.4380212,2.4380212,4
103199-4-0-5,3,0.6333776,0.040835205,0.1467892,0.000172443,2293.080161,5797.049145,1777.978103,3103.01415,3661.453582,14769.39255,0.166546243,0.000155079,-31.684677,-31.684677,85.98218,85.98218,-87.37752,-87.37752,-0.40789324,-0.40789324,-18.425589,-18.425589,-10.813814,-10.813814,-20.977297,-20.977297,-6.179178,-6.179178,-18.968582,-18.968582,-7.961004,-7.961004,-19.959196,-19.959196,-8.083115,-8.083115,-11.995264,-11.995264,-7.0877337,-7.0877337,-13.535673,-13.535673,6.3400345,6.3400345,-7.456979,-7.456979,4.0315027,4.0315027,-3.527249,-3.527249,2.8097796,2.8097796,4
103199-4-0-6,3,0.607418,0.049742796,0.15246172,0.000175866,2360.040615,7893.428601,1777.711837,4449.308217,3710.805692,22042.75493,0.174449061,0.000171761,-31.299145,-31.299145,78.757484,78.757484,-90.17962,-90.17962,1.0080044,1.0080044,-11.076965,-11.076965,-6.288589,-6.288589,-16.329565,-16.329565,-1.6070486,-1.6070486,-11.7057085,-11.7057085,-2.8610666,-2.8610666,-17.057447,-17.057447,-4.266216,-4.266216,-7.7922535,-7.7922535,-2.6136444,-2.6136444,-10.327704,-10.327704,7.45703,7.45703,-5.1777806,-5.1777806,9.016473,9.016473,0.16175014,0.16175014,4.924118,4.924118,4
103199-4-1-0,3,0.49746588,0.087220356,0.13756251,0.001289642,2466.62875,4239.300494,1551.724577,11690.67717,3598.981268,31184.3178,0.190178149,0.000386876,-82.08477,-82.08477,57.94824,57.94824,-116.500984,-116.500984,3.9201527,3.9201527,-2.681272,-2.681272,2.2595606,2.2595606,-7.5457826,-7.5457826,5.494926,5.494926,-8.7849455,-8.7849455,-7.2215943,-7.2215943,-13.446433,-13.446433,-1.7269169,-1.7269169,-3.66985,-3.66985,-2.0644948,-2.0644948,-8.26443,-8.26443,3.5778978,3.5778978,-8.775101,-8.775101,7.7713346,7.7713346,-1.7975222,-1.7975222,5.143654,5.143654,4
103199-4-2-0,3,0.51354235,0.065313205,0.15255596,0.000446361,2563.337308,7487.328679,1621.681325,4735.72787,3833.719207,39820.11075,0.195840295,0.000205813,-55.234207,-55.234207,50.10976,50.10976,-115.18823,-115.18823,4.9467497,4.9467497,-7.1856885,-7.1856885,2.5323603,2.5323603,-6.733212,-6.733212,9.981286,9.981286,-7.8888307,-7.8888307,-3.2517266,-3.2517266,-12.232021,-12.232021,3.0766218,3.0766218,-0.36466596,-0.36466596,1.8808979,1.8808979,-7.121147,-7.121147,5.5610857,5.5610857,-4.8690743,-4.8690743,10.339646,10.339646,-1.7065187,-1.7065187,5.267824,5.267824,4
103199-4-2-1,3,0.546508,0.058965378,0.1596828,0.000350957,2532.098286,12427.65273,1623.39852,6332.018521,3802.97527,46054.06503,0.195021789,0.000147527,-46.364986,-46.364986,56.153614,56.153614,-110.87109,-110.87109,9.977185,9.977185,-3.4384186,-3.4384186,4.84436,4.84436,-5.7162967,-5.7162967,10.324846,10.324846,-5.255137,-5.255137,1.8654094,1.8654094,-10.852518,-10.852518,3.243873,3.243873,-2.5209587,-2.5209587,2.512441,2.512441,-6.341358,-6.341358,8.01217,8.01217,-3.3199704,-3.3199704,12.309359,12.309359,0.40797275,0.40797275,3.8744059,3.8744059,4
103199-4-2-10,3,0.54657876,0.056567762,0.1556688,0.000135811,2897.506133,3235.595098,1771.965074,2667.320283,4313.050798,23604.52019,0.214826815,0.000210318,-62.26027,-62.26027,7.6641135,7.6641135,-124.6649,-124.6649,0.9148718,0.9148718,-7.703418,-7.703418,4.2817955,4.2817955,-4.002825,-4.002825,15.98023,15.98023,-2.3231733,-2.3231733,7.9538813,7.9538813,-5.2099676,-5.2099676,11.52781,11.52781,-0.31549135,-0.31549135,6.028611,6.028611,-3.7119741,-3.7119741,11.565526,11.565526,-2.7089384,-2.7089384,8.995326,8.995326,-2.5843418,-2.5843418,2.186937,2.186937,4
103199-4-2-11,3,0.5394825,0.058991726,0.14804049,0.00015705,2898.468821,3891.938945,1771.927354,3077.360546,4354.312398,34210.61778,0.215947322,0.000198055,-66.024765,-66.024765,9.440777,9.440777,-123.18802,-123.18802,2.3769433,2.3769433,-8.056655,-8.056655,4.5655227,4.5655227,-5.071819,-5.071819,16.222324,16.222324,-2.6170135,-2.6170135,7.3174024,7.3174024,-4.887551,-4.887551,11.402801,11.402801,-2.1249647,-2.1249647,5.9325657,5.9325657,-3.8205757,-3.8205757,10.774941,10.774941,-1.0172052,-1.0172052,10.6747,10.6747,-1.3209695,-1.3209695,3.577106,3.577106,4
